# RESPONSE #
continue Continue()
@L "LOCALS"
@!battle CombatCounter(0)
@battle !CombatCounter(0)
have HaveSpell
@remove RemoveSpell
@last LastSeenBy(Myself)
@看见敌人 See([enemy])
@S Spell
@FS ForceSpell
@AS ApplySpell
@RFS ReallyForceSpell
true True()
false False()
@m Myself
@NEM NearestEnemyOf(Myself)
@1NE NearestEnemyOf
@2NE SecondNearestEnemyOf
@3NE ThirdNearestEnemyOf
@4NE FourthNearestEnemyOf
@5NE FifthNearestEnemyOf
@6NE SixthNearestEnemyOf
@1NOM NearestEnemyOf(Myself)
@2NOM SecondNearestEnemyOf(Myself)
@3NOM ThirdNearestEnemyOf(Myself)
@4NOM FourthNearestEnemyOf(Myself)
@5NOM FifthNearestEnemyOf(Myself)
@6NOM SixthNearestEnemyOf(Myself)
@NOT NearestEnemyOfType
@发声 WIZARD_VOCALIZE
@加速 WIZARD_HASTE
@高加 WIZARD_IMPROVED_HASTE
@毒咒 WIZARD_GREATER_MALISON
@变形 WIZARD_POLYMORPH_OTHER
@谭森 WIZARD_TENSERS_TRANSFORMATION
@降抗 WIZARD_LOWER_RESISTANCE
@力量术 WIZARD_STRENGTH
@魔能刃 WIZARD_ENERGY_BLADES
@IA WIZARD_IMPROVED_ALUCRITY
@高等迅捷 WIZARD_IMPROVED_ALUCRITY
@律令睡眠 WIZARD_POWER_WORD_SLEEP
@律令沉默 WIZARD_POWER_WORD_SILENCE
@律令震慑 WIZARD_POWER_WORD_STUN
@律令目盲 WIZARD_POWER_WORD_BLIND
@TS WIZARD_TIME_STOP
@时停 WIZARD_TIME_STOP
@时间停止 WIZARD_TIME_STOP
@不死生物操控 WIZARD_CONTROL_UNDEAD
@七彩喷射 WIZARD_COLOR_SPRAY
@臭云 WIZARD_STINKING_CLOUD
@混乱 WIZARD_CHAOS_VISUALS_ONLY
@控制 WIZARD_DOMINATION
@缓慢 WIZARD_SLOW
@传送域 WIZARD_TELEPORT_FIELD
@乱流 WIZARD_TELEPORT_FIELD
@魅惑 WIZARD_CHARM_PERSON
@恐吓 WIZARD_SPOOK
@盲术 WIZARD_BLINDNESS
@蛛网 WIZARD_WEB
